UNIX TimeStamp,Virtual Price, USDT Balance,DAI Balance,USDC Balance
1655895720,1021614858022584873,664135280178566,185590291874570939239616489,183709929054478
1655802849,1021607148231325242,676443151276445,181881762673313789183403557,183496316466570
1655717169,1021600665470454251,692768915692669,171765927657139704077853687,172131108433565
1655630605,1021591467098188853,709319595183928,174122750797493905266071404,172923013602906
1655544843,1021576583228310681,693268442990501,187052557936275605282235204,195668205054456
1655459012,1021556778311881523,766356253986170,195493465006140197431086850,192886080540159
1655374443,1021547921935342408,743899951795530,200014868535583745003070072,201479211873724
1655288625,1021529976535541483,829352897184817,182985213419836093874068844,188785414945181
1655201693,1021508692460325419,837917245455740,226865253076541129341560110,226498996529799
1655115375,1021481854502284753,1059403423295153,247902471186906753911701166,237793676052445
1655030421,1021469750276659895,1077791285238634,298057681960513971701745963,296103406031604
1654945776,1021464639376098633,1018706501073093,328012105515005307041704762,326487595809601
1654860494,1021461460861355504,981766682902241,344944177675734169425492464,338816707681829
1654775275,1021459406098017821,961655069080628,343497211826241436422266583,356020508849291
1654691113,1021456585706063874,950700638467554,349224289730556974051401643,354375155351376
1654606246,1021451398123492273,968273140426672,347869005497239774625391178,347667235725464
1654521038,1021446840170976696,983365777434058,331068579670889076886342282,338664767667952
1654435887,1021444472950414484,975176352809751,311288301141159612476572827,319458912925989
1654351315,1021442098912123168,987667063854015,314452286321084043393106965,307705009299084
1654269773,1021440602921079900,966623054077325,316698221012920500138235372,320513343210649
1654188751,1021438020827401821,985261007542311,299665704615280162643306380,313417133300854
1654107946,1021449078701111292,1007720390529517,291507640935753309087884534,292298530413178
1654026397,1021462431669992212,964065849403075,271222225057223034322419695,271186382867555
1653944926,1021474081247333694,967550934690820,262430262630836299493131517,261216837117431
1653863562,1021482130131364204,1033571929233710,219983343561224987937678256,221794809045413
1653782717,1021495584906465475,1046998671066851,208966203248790592555001800,224418433236602
1653702683,1021506264475048682,1058286438701316,201096447241994840025910033,206226772050138
1653621345,1021514151065156811,1161814449725713,210104205750888573532003195,213107524327140
1653540241,1021517539496103472,1152097643534141,203642850764445283160690006,210994385024783
1653459065,1021514944573231859,1136780658493868,206223794915696228940535479,198212398063823
1653377540,1021511820756468943,1115536716992944,208543125884200857753687734,207479300728366
1653297720,1021509452188724562,1094856353483660,208611977690358555887053232,213587470006713
1653217170,1021506313027885564,1099725112501032,190537239538919492446777975,185810588650042
1653135290,1021504196809566181,1109600780748430,182651113680154179274502844,177042559276985
1653054283,1021484960402270647,1019173643795238,202699591158610153049506300,204848259217779
1652973970,1021480233611118219,1054411659508065,188395094060670667727664237,182240157366950
1652892232,1021471266197687078,1072995069637956,182286093699417692735590865,180677053611361
1652812833,1021466751709916675,1058327879533010,185694653598058173143564048,186896955433800
1652733955,1021458596972045521,1064465776785833,181022571033762015478890058,183131129492924
1652654683,1021452790269608020,1079728151156020,183637467491456585070697123,175156416117807
1652575362,1021434313646232902,1046920731147696,172479149246402676748567867,181194348598403
1652496290,1021413581918168719,1228405265174800,183743264612223096642027319,186701593105486
1652417952,1021382262474381651,1310806675433420,147411387881979711902746576,147725423359107
1652337842,1021196031053510159,1839995484822548,100984025377410826327581223,100249100965538
1652258447,1021014189392574744,1566519795969130,498633815009334825234699309,405705207422129
1652179299,1020966405452722531,1622150927786643,562445585355301993148917799,412573911313928
1652098064,1020891165917332697,1348658004136082,811973638741588054029210768,768072286612451
1652019513,1020863734350072740,1391483231468588,903020564641436034735136641,618302675739568
1651940582,1020811916592862795,1022247895952332,1196723875854638176502241904,1010157566090200
1651860803,1020805720561242078,958716867131990,1238473883706437541233846463,1047460761110526
1651782284,1020799374886363250,921495106269198,1226170563520087457748057468,1052859849455635
1651702867,1020794187785550991,908155426793493,1231576770736862886337826548,1052604518910499
1651623437,1020788977968590312,856257851757100,1247811103878401530633049894,1070860527676731
1651544802,1020785534961876767,820454342628654,1253018524576897933754181613,1085786183587601
1651466418,1020779039549792245,796677058512223,1300992377342449595142516370,1152539566399950
1651387716,1020775812262119617,808115343255894,1309383292048752908143567896,1163799883657354
1651310167,1020768638955450950,777244215050991,1359716959497853736717616641,1270551963928547
1651232544,1020765276258179202,771568968977315,1361139653571367132553247449,1311510979475775
1651153799,1020761463955807998,755215910079300,1375725337141918140099390017,1281680774762919
1651075159,1020757854942591004,755376238635469,1366661636197209754730855208,1307212400566798
1650997590,1020753832681653889,757077428637680,1369347396265625786312760121,1276345259793936
1650918718,1020747713380197353,824021999245481,1356927006911001212719486222,1313832170056225
1650840145,1020742926478462372,842572805238954,1349273919315129406530239222,1306054716445415
1650761884,1020735911699280256,677022260624675,1351226345029881433554892345,1271162870179203
1650683714,1020732518156237675,713463397111255,1348319680556076134111574376,1281168478979145
1650606588,1020725585130190120,751941165817372,1389131633256807265794711753,1329485231196730
1650528389,1020719930589196921,815891900993368,1387628635493430647794618079,1335634998645743
1650450853,1020714740644145074,856838926776269,1443122924365213883298304010,1307892078726430
1650372783,1020712556347400988,856693514171343,1445593317345930999438135184,1281092556779199
1650294123,1020708112846205030,864328684984466,1430932542999645044414130261,1267883415638323
1650216573,1020705333546535776,857001246095659,1425901893359424097970452780,1271554090910271
1650138277,1020680541921268626,850582161219976,1451002704594824402403937346,1298484480424801
1650061024,1020678902462520709,830759747438773,1452271168391444581686291452,1291634875260497
1649983325,1020676520946217220,795930625425746,1454949977560521353332476017,1296369895585495
1649905925,1020673137397866192,783426854619865,1443653535283717545583759649,1308571672243681
1649827049,1020669125596407356,763975529254908,1447979557341823210059634355,1319491833656854
1649750529,1020665425511689028,739292179638340,1441649170488918243307638917,1330607236750554
1649671653,1020651965788879473,626987389308079,1484615764347672705367957935,1326171888824955
1649594478,1020648306412962688,608210470988884,1461230504525736805938808629,1286934265257034
1649517230,1020645488707501833,604005904848032,1459403246882588818318390812,1249426516090617
1649439088,1020642896008121466,588269173255243,1451535848820532998065296965,1244560656220508
1649360993,1020639267017922547,586781202071000,1460516301650900557785576045,1242635775585274
1649283599,1020636555268117527,565908350632481,1468522348654132752834621785,1251839656260154
1649205957,1020632090776879875,525473254550581,1463836965993006064695000117,1249356688863097
1649128565,1020626949294627563,505227812458276,1470436560533081557405034236,1225302466496870
1649050936,1020620821978110914,481952958222399,1465844687956660143762006631,1281003704241831
1648972036,1020618021517462186,482565784391842,1468709818076003125210064795,1300148700794064
1648895046,1020613097251362122,500662867875105,1493932457628734346555625822,1380276724444675
1648816860,1020608684509667049,493519483256229,1479221636677678371711609849,1382893441155773
1648739078,1020600107000014600,431343519571805,1487456853495525488069557945,1377460701786147
1648661515,1020594963971201828,437100023128890,1479309955536391248627649151,1407792339088068
1648583889,1020590284800711992,459456618607976,1461276997946519586891550327,1400751537566599
1648506620,1020586776339473642,437958654609553,1454200278818630952221321288,1367539041787906
1648429483,1020580554200721919,463087466424901,1463021702164633063497880621,1347207708092396
1648352144,1020576850453130720,466426184162710,1467311870683549156316251262,1327879239444433
1648274142,1020571488214294927,470372490642508,1480186060494381560697843996,1337773105228522
1648196578,1020566589382312793,449350428515290,1485232330026795791061643464,1349033607101724
1648119810,1020551677885934720,461131248859525,1536976500495529637763996586,1492888214712922
1648041828,1020544366962416055,470182854672522,1543586269809025999842473187,1527989872457511
1647965153,1020540284748426811,482484431591459,1543253916409289536805035062,1608718157893423
1647887090,1020537530791678297,475751295377902,1543724420067712876811702058,1635533470174965
1647809710,1020535417301205752,458422133065765,1540616840555811340807616686,1683008336886720
1647732147,1020532682634277112,484037679820653,1538321796241360286563964117,1696776174117207
1647654772,1020531071166500016,476427961383214,1536986214664101120712660434,1710162153584718
1647577910,1020523629788515435,513675080041332,1526085428555946889577020553,1724932639498619
1647500163,1020514789645909209,624628818150901,1515611169651736157330323305,1667494445868344
1647422135,1020508390058703665,722569709506008,1502391598607247323128287093,1631232624422619
1647344921,1020505067807873394,763093395303806,1506052953452287621046324713,1646987858871580
1647267431,1020499130598292568,707519620156659,1515744891273346843207953741,1677707011930275
1647190674,1020495974828441150,646425215280568,1522188789622002520373983911,1656468214334899
1647111784,1020488906785440346,602525934810607,1538168718509229123915996690,1691671247172551
1647034541,1020480919820295956,633588474347537,1550624892924619031850628136,1720563580147261
1646956224,1020472819481531528,703190962286346,1542135318446038946899659457,1676950908330827
1646879818,1020468591741215099,738539723336162,1561415538122258646950629897,1678895064216526
1646802690,1020465241194474834,719041478719878,1591184439229146565117484771,1694124989707998
1646724775,1020460251857274839,700634440640502,1593506154515992300089989308,1707598877101239
1646648447,1020453007232307199,687687538479833,1599569352845073933923406607,1734994733787104
1646570518,1020444658228978551,736834105819492,1610949921460532028304553561,1819598626426580
1646493468,1020437989314914264,778842549645098,1612629131496346723442573753,1791521638632467
1646414921,1020431555441976046,826699021156549,1623780993323264224060015524,1792480606606733
1646337975,1020428601319582732,818978737671890,1614118349994199348695216598,1810187065774001
1646260977,1020424178857768052,775151899672367,1618448766725922640680159918,1760287648707576
1646183432,1020417578338138184,778933042832223,1596339705915144355696353417,1670379013896290
1646107211,1020411049981978097,783676832172522,1576116314992013058753005061,1600318052226518
1646030528,1020405822712120078,785816759596410,1575700225353775138829340071,1580409897513681
1645952852,1020401404078945747,847240088572309,1575205653520002861965813147,1580397692125023
1645876087,1020396800616128798,866616420848509,1551315287816385086529982355,1581098084213158
1645799098,1020389175771525461,820299596154578,1555874179494174727810594031,1535610541631579
1645722231,1020379247975843793,837631840793146,1614541371612894383209834760,1617992484177020
1645645150,1020366362333200228,875996031751316,1624461080535367949848371983,1666485454209320
1645568216,1020359811730920827,859807753771833,1662424045555991548137288760,1629758602438778
1645491126,1020355279865688231,840106566941929,1670158631828063512402212215,1632494339148796
1645413327,1020350879027394809,858673508116460,1701584746704999461529905942,1603735231960349
1645336693,1020348582179586830,861383967260537,1713654378508891225206024578,1640349421012357
1645259187,1020345666756889078,866539621393378,1735377572012832225861433624,1605133859708429
1645181981,1020341336675940931,858192587810909,1727241579637920762649474072,1623523854022908
1645104836,1020338029266612440,841927562877917,1693445848556099612741201982,1638007642722936
1645028346,1020330060183457183,888112212629617,1698904166057781419405536329,1503510373335449
1644950674,1020325263054094430,882824333410304,1668439465035686714194855009,1565575803921297
1644874210,1020321970137055448,876801563598881,1653434230104045000037002513,1555992424770386
1644796929,1020315214815817972,836308594211309,1644806356747632022985007138,1677965583655554
1644720637,1020312636738100629,834758052376943,1648356419623414135242343803,1719401290118966
1644643653,1020310819431646913,821020418283298,1643660070550821393405437521,1719529690579750
1644567298,1020307388720164302,780320055717136,1628029467435564317872757330,1720112603269310
1644489506,1020303138247582924,806981995042365,1601656156380343817013358422,1718781490317427
1644412265,1020297433638918758,824372560578887,1591176348904667018625864137,1630142448231429
1644335573,1020290786665826698,860782027806709,1576212096734663229180721789,1561272671107340
1644258593,1020284949949296684,905318486689794,1547511115416748646937816823,1530795424444816
1644181391,1020275584344630373,1019245914698485,1522555963089708523558443738,1569456698081009
1644105333,1020273104674697508,990463051817026,1519145220060206265048311031,1520250511086942
1644027907,1020266376643947670,1050454581628561,1462242417700780188845140926,1501514399696501
1643951497,1020260345423458953,1116800448638705,1434066339831795413093710534,1428077243967780
1643874635,1020249581441197234,1000813128598895,1416595624550039955924447874,1382897226733861
1643796652,1020242678451820803,980331808151811,1427507116171581967697376584,1424485263218721
1643720684,1020236778767895950,992093373054161,1400204146098457032687976430,1410009888629115
1643643842,1020230487809134932,1000818872496795,1382292611427211245091749092,1425004117748134
1643566445,1020226906597205231,1001362664274186,1393393413094081641934047957,1454896122731315
1643490259,1020219650335857075,964696697935982,1373685328428132577527670192,1456080934919166
1643413408,1020190695091291485,1268625101650876,1389601262613268280943694505,1101128258146544
1643336196,1020136134800694579,1307876185628771,1446508686687719567129924852,1147386117452646
1643259950,1020087241524043520,1651730172831734,1827979583673681214919281997,1866426343974416
1643182494,1020078850602712287,1870504502999212,1708882016426756755605138524,1771473897615547
1643105842,1020068378799427379,1993557781067254,1632110920768419484123941038,1754041648229470
1643028414,1020060707766197514,1981534824278017,1641938906426862415872569867,1739924298652044
1642951130,1020054460668336722,2010238781351117,1609803405515427195582778481,1751728458505125
1642874508,1020046352534932806,2063300438231822,1645400019931002089449641766,1805209062937368
1642797973,1020024840902627623,2130908718305525,1942354942470561293413769845,2024059900503864
1642720297,1020015291970052701,2034895918001156,1986940572231338499815352558,2063236960831488
1642643546,1020008891043321870,1922509083878661,1971238609893194065974699588,2056258979351633
1642566610,1020002090072793617,1877067016157155,1943709288033973147480330695,2113393039294961
1642490140,1019995821281366874,1848584480293794,1915041645790227920626825126,2092458663999428
1642413103,1019991554297093322,1883157846782592,1907514252158707868445057043,2100224659932021
1642336845,1019988126419300092,1883494072495579,1899725755938472922879932905,2068425139270263
1642260114,1019985667612366972,1883792215855447,1896817422531071822319199838,2005465732495398
1642182368,1019981373945108775,1880091104837157,1884849019037872707986000850,1998448701435344
1642105495,1019978233066014885,1939050075581004,1887352668225454205476712725,1995742151854334
1642028056,1019972588933299469,1963983488283222,1891536263393854969766513594,1913380317306810
1641950530,1019970011046940481,1989892996234793,1892993574508887186923411252,1893676019523326
1641874697,1019966317109294671,1994215651210774,1896197407108722676618544128,1895526667119283
1641797617,1019962153208474024,2006783624205939,1886567931466391296870145303,1856746177291217
1641719857,1019954185510326843,1774297481545365,1886801549947711953199338579,2005157548207760
1641644664,1019950883459735466,1740710713044081,1873133895449579832883661899,2043205491418171
1641567240,1019947751879089029,1695904069440792,1883748348702296606615719749,1999680595148549
1641490088,1019940850703309405,1671354901499462,1902851262250263019133370607,2120494379423178
1641412659,1019933175074060217,1673471818751462,1928394840598301804565731898,2114192776592388
1641335424,1019929048654242371,1643299966505377,1921264061465635889062849276,2153479077405685
1641258282,1019925174134808276,1665214701056849,1911575187103653910116529058,2160378185683044
1641181290,1019920146368083229,1594150751561621,1878537841440086848178531922,2152935135700646
1641104774,1019918021738759116,1580449001039407,1874631485366984976052483847,2126254520373555
1641028558,1019909113634276793,1538849587884491,1863770504687547076460755053,2070461937979599
1640950592,1019903847710149216,1473416890218286,1864957449697461656348881158,1921237773550512
1640873275,1019898384891957634,1443906571473293,1867503462216724321555095885,1936791984132347
1640796215,1019890792468151932,1258224671897268,1862025744166645618924654091,1888892907753525
1640719634,1019885728439377311,1164796035217639,1818341037828969803224555828,1954377853575420
1640642547,1019881103659444440,1146685305735141,1794434440759878349988055110,1979799040425505
1640565517,1019873405367888071,1149337948030324,1824786192537615878352708254,1876254112805143
1640488855,1019870145650788340,1068620614887841,1820238047594358997106648868,1797034151998456
1640412163,1019860739770039107,890482659914282,1779808774533476199236320719,1674173918535074
1640334388,1019850762866375028,850788502656533,1766154754350202195685890019,1750978345012955
